N, Newton, Jacobiana, Sistema Linear
32,22.8376,487.657,1551.0442
64,989.4234,1354.7774,46.8464
128,149.0952,1964.2538,1299.4448
256,411.6227,2623.9772,1267.024
512,4283.1919,1233.7869,800.2254
1000,5552.3823,1214.2029,1047.2916
2000,1115.4787,7847.8599,1209.251
4000,8508.0241,1207.5945,1144.7773
8000,1156.2581,7944.6556,1203.4554
9000,2744.3881,1155.7088,1201.2018
10000,1155.7336,1874.3215,1199.8454
20000,2639.5088,1200.8759,1163.0005
