N, Newton, Jacobiana, Sistema Linear
32,353.3918,238975.5625,6325.7398
64,3308.4055,438.2516,263174.6922
128,237354.8732,1204.725,411.6643
256,631.0522,422.9825,182449.7477
512,155606.4965,378.379,427.3341
1000,380.9326,103841.5204,389.0564
2000,373.2923,56733.6076,371.8865
4000,30322.9549,368.6792,371.2232
8000,374.7669,18859.8884,377.3041
9000,7653.0011,375.6064,377.7278
10000,6072.0421,377.518,374.7815
20000,5789.8024,390.4521,393.6584
