N, Newton, Jacobiana, Sistema Linear
32,-0.004,0.0144,0.0139
64,0.0014,0.0106,0.0168
128,0.0008,0.0047,0.0342
256,0.0494,0.0746,0.0475
512,0.0602,0.3242,0.32
1000,0.0274,0.3249,0.3286
2000,0.2929,0.0156,0.2952
4000,0.0087,0.206,0.2069
8000,0.1809,0.1803,0.0067
9000,0.2195,0.0081,0.2205
10000,0.0066,0.2038,0.2046
20000,0.0058,0.0589,0.0592
