N, Newton, Jacobiana, Sistema Linear
32,439.7814,50434.4109,7089.6071
64,32836.0536,1666.2826,461.0452
128,11371.9729,564.7582,440.7217
256,650.3311,1628.8077,651.8753
512,1246.6305,449.0085,495.4636
1000,522.8532,452.9415,1452.2191
2000,3838.678,4164.7726,3870.1456
4000,5174.2348,4502.0065,5284.2057
8000,4783.3006,4080.9439,4870.3035
9000,5940.5838,6139.6486,4197.9359
10000,4189.6824,5603.9537,5462.0972
20000,4163.0751,1379.6217,1554.016
