N, Newton, Jacobiana, Sistema Linear
32,69.8687,115.2752,3934.891
64,103.3127,4002.5073,354.9438
128,69.7775,4048.4943,1379.5726
256,3644.8951,2626.0723,5.3147
512,2.0425,3498.6298,3064.6605
1000,3071.3563,3392.418,0.966
2000,3151.1156,0.4279,2865.8967
4000,0.2296,3004.6746,2766.8589
8000,2993.057,2795.1775,0.1367
9000,0.0935,2953.3233,2709.2535
10000,0.0932,2743.23,2968.0244
20000,2916.851,3147.9913,0.0511
