STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.791987379 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.125011,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,49367310
L2_PF_HIT_IN_L2,PMC1,27862690
L2_PF_HIT_IN_L3,PMC2,44884440
L2_PF_MISS_IN_L3,PMC3,7339
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,36296720
RETIRED_INSTRUCTIONS,PMC5,1883456000
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],0.1250,
L2 request rate,0.0648,
L2 miss rate,0.0308,
L2 miss ratio,0.4746,
L2 accesses,122121779,
L2 hits,64159410,
L2 misses,57962369,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.791987379 GHz,
TABLE,Region Jacobiana,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.002710,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,160058
L2_PF_HIT_IN_L2,PMC1,32202
L2_PF_HIT_IN_L3,PMC2,2256
L2_PF_MISS_IN_L3,PMC3,461
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,156573
RETIRED_INSTRUCTIONS,PMC5,253789
TABLE,Region Jacobiana,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0027,
L2 request rate,0.7683,
L2 miss rate,0.0244,
L2 miss ratio,0.0318,
L2 accesses,194977,
L2 hits,188775,
L2 misses,6202,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.791987379 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.051937,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,48582020
L2_PF_HIT_IN_L2,PMC1,27652200
L2_PF_HIT_IN_L3,PMC2,44753020
L2_PF_MISS_IN_L3,PMC3,629
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,35528810
RETIRED_INSTRUCTIONS,PMC5,613452800
TABLE,Region Sistema Linear.,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0519,
L2 request rate,0.1972,
L2 miss rate,0.0942,
L2 miss ratio,0.4778,
L2 accesses,120987869,
L2 hits,63181010,
L2 misses,57806859,
