STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792665744 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.825885,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,407387100
L2_PF_HIT_IN_L2,PMC1,190070600
L2_PF_HIT_IN_L3,PMC2,321575800
L2_PF_MISS_IN_L3,PMC3,14523460
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,316580300
RETIRED_INSTRUCTIONS,PMC5,9858421000
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],0.8259,
L2 request rate,0.0947,
L2 miss rate,0.0433,
L2 miss ratio,0.4573,
L2 accesses,933556960,
L2 hits,506650900,
L2 misses,426906060,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792665744 GHz,
TABLE,Region Jacobiana,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.010390,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,571779
L2_PF_HIT_IN_L2,PMC1,118036
L2_PF_HIT_IN_L3,PMC2,4269
L2_PF_MISS_IN_L3,PMC3,527
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,565334
RETIRED_INSTRUCTIONS,PMC5,534243
TABLE,Region Jacobiana,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0104,
L2 request rate,1.3002,
L2 miss rate,0.0210,
L2 miss ratio,0.0162,
L2 accesses,694611,
L2 hits,683370,
L2 misses,11241,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792665744 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.538345,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,404369100
L2_PF_HIT_IN_L2,PMC1,189250900
L2_PF_HIT_IN_L3,PMC2,321538900
L2_PF_MISS_IN_L3,PMC3,14038520
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,313614400
RETIRED_INSTRUCTIONS,PMC5,4787026000
TABLE,Region Sistema Linear.,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],0.5383,
L2 request rate,0.1941,
L2 miss rate,0.0891,
L2 miss ratio,0.4588,
L2 accesses,929197420,
L2 hits,502865300,
L2 misses,426332120,
