STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792767929 GHz,
TABLE,Region Jacobiana,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.131917,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,6350085
L2_PF_HIT_IN_L2,PMC1,1761331
L2_PF_HIT_IN_L3,PMC2,25731
L2_PF_MISS_IN_L3,PMC3,15746
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,6312597
RETIRED_INSTRUCTIONS,PMC5,2487473
TABLE,Region Jacobiana,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],0.1319,
L2 request rate,3.2776,
L2 miss rate,0.0317,
L2 miss ratio,0.0097,
L2 accesses,8152893,
L2 hits,8073928,
L2 misses,78965,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792767929 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],85.861890,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,43276870000
L2_PF_HIT_IN_L2,PMC1,37704200000
L2_PF_HIT_IN_L3,PMC2,2273768000
L2_PF_MISS_IN_L3,PMC3,17750070000
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,27358140000
RETIRED_INSTRUCTIONS,PMC5,300591200000
TABLE,Region Sistema Linear.,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],85.8619,
L2 request rate,0.3360,
L2 miss rate,0.1196,
L2 miss ratio,0.3558,
L2 accesses,101004908000,
L2 hits,65062340000,
L2 misses,35942568000,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792767929 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],90.504780,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,43322930000
L2_PF_HIT_IN_L2,PMC1,37717420000
L2_PF_HIT_IN_L3,PMC2,2274164000
L2_PF_MISS_IN_L3,PMC3,17756090000
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,27403560000
RETIRED_INSTRUCTIONS,PMC5,381626300000
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],90.5048,
L2 request rate,0.2648,
L2 miss rate,0.0942,
L2 miss ratio,0.3557,
L2 accesses,101070604000,
L2 hits,65120980000,
L2 misses,35949624000,
