STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792735981 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],91.203120,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,436463400000
MAX_CPU_CLOCK,FIXC2,345777000000
RETIRED_INSTRUCTIONS,PMC0,381626300000
CPU_CLOCKS_UNHALTED,PMC1,432371000000
L2_PF_HIT_IN_L3,PMC2,2246685000
L2_PF_MISS_IN_L3,PMC3,17792790000
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,1674399000
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],91.2031,
Runtime unhalted [s],115.0788,
Clock [MHz],4787.4510,
CPI,1.1330,
L3 bandwidth [MBytes/s],15237.2850,
L3 data volume [GBytes],1389.6879,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792735981 GHz,
TABLE,Region Jacobiana,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.127757,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,612360300
MAX_CPU_CLOCK,FIXC2,484988200
RETIRED_INSTRUCTIONS,PMC0,2488082
CPU_CLOCKS_UNHALTED,PMC1,87799570
L2_PF_HIT_IN_L3,PMC2,30262
L2_PF_MISS_IN_L3,PMC3,12998
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,57545
TABLE,Region Jacobiana,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],0.1278,
Runtime unhalted [s],0.1615,
Clock [MHz],4788.8195,
CPI,35.2881,
L3 bandwidth [MBytes/s],50.4985,
L3 data volume [GBytes],0.0065,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792735981 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],86.653940,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,415432100000
MAX_CPU_CLOCK,FIXC2,328530000000
RETIRED_INSTRUCTIONS,PMC0,300591200000
CPU_CLOCKS_UNHALTED,PMC1,413595700000
L2_PF_HIT_IN_L3,PMC2,2246454000
L2_PF_MISS_IN_L3,PMC3,17786820000
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,1673328000
TABLE,Region Sistema Linear.,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],86.6539,
Runtime unhalted [s],109.5336,
Clock [MHz],4795.9829,
CPI,1.3759,
L3 bandwidth [MBytes/s],16031.8449,
L3 data volume [GBytes],1389.2225,
