STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792763644 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,3321
L2_PF_HIT_IN_L2,PMC1,229
L2_PF_HIT_IN_L3,PMC2,217
L2_PF_MISS_IN_L3,PMC3,28
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,2831
RETIRED_INSTRUCTIONS,PMC5,56583
TABLE,Region Sistema Linear.,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],3.867363e-06,
L2 request rate,0.0671,
L2 miss rate,0.0130,
L2 miss ratio,0.1937,
L2 accesses,3795,
L2 hits,3060,
L2 misses,735,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792763644 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.000601,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,35230
L2_PF_HIT_IN_L2,PMC1,6889
L2_PF_HIT_IN_L3,PMC2,4943
L2_PF_MISS_IN_L3,PMC3,327
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,29161
RETIRED_INSTRUCTIONS,PMC5,1512801
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0006,
L2 request rate,0.0313,
L2 miss rate,0.0075,
L2 miss ratio,0.2393,
L2 accesses,47389,
L2 hits,36050,
L2 misses,11339,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792763644 GHz,
TABLE,Region Jacobiana,Group 1 Raw,L2CACHE,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.000003,
call count,1,
Event,Counter,HWThread 0
REQUESTS_TO_L2_GRP1_ALL_NO_PF,PMC0,3416
L2_PF_HIT_IN_L2,PMC1,265
L2_PF_HIT_IN_L3,PMC2,187
L2_PF_MISS_IN_L3,PMC3,147
CORE_TO_L2_CACHE_REQUESTS_HITS,PMC4,2876
RETIRED_INSTRUCTIONS,PMC5,15012
TABLE,Region Jacobiana,Group 1 Metric,L2CACHE,7
Metric,HWThread 0,
Runtime (RDTSC) [s],3.035780e-06,
L2 request rate,0.2675,
L2 miss rate,0.0582,
L2 miss ratio,0.2177,
L2 accesses,4015,
L2 hits,3141,
L2 misses,874,
