STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.79277001 GHz,
TABLE,Region Jacobiana,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 0,
RDTSC Runtime [s],0.214355,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,1026894000
MAX_CPU_CLOCK,FIXC2,813396400
RETIRED_INSTRUCTIONS,PMC0,3052239
CPU_CLOCKS_UNHALTED,PMC1,144673400
RETIRED_SSE_AVX_FLOPS_ALL,PMC2,18013
MERGE,PMC3,0
TABLE,Region Jacobiana,Group 1 Metric,FLOPS_DP,5
Metric,HWThread 0,
Runtime (RDTSC) [s],0.2144,
Runtime unhalted [s],0.2708,
Clock [MHz],4788.2838,
CPI,47.3991,
DP [MFLOP/s],0.0840,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.79277001 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 0,
RDTSC Runtime [s],125.467300,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,599107700000
MAX_CPU_CLOCK,FIXC2,475800200000
RETIRED_INSTRUCTIONS,PMC0,427685700000
CPU_CLOCKS_UNHALTED,PMC1,596785800000
RETIRED_SSE_AVX_FLOPS_ALL,PMC2,486121600000
MERGE,PMC3,0
TABLE,Region Sistema Linear.,Group 1 Metric,FLOPS_DP,5
Metric,HWThread 0,
Runtime (RDTSC) [s],125.4673,
Runtime unhalted [s],157.9605,
Clock [MHz],4775.6973,
CPI,1.3954,
DP [MFLOP/s],3874.4884,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.79277001 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 0,
RDTSC Runtime [s],131.318300,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,625986700000
MAX_CPU_CLOCK,FIXC2,497988200000
RETIRED_INSTRUCTIONS,PMC0,530240800000
CPU_CLOCKS_UNHALTED,PMC1,620659300000
RETIRED_SSE_AVX_FLOPS_ALL,PMC2,486121600000
MERGE,PMC3,0
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,FLOPS_DP,5
Metric,HWThread 0,
Runtime (RDTSC) [s],131.3183,
Runtime unhalted [s],165.0474,
Clock [MHz],4767.6302,
CPI,1.1705,
DP [MFLOP/s],3701.8572,
