STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792583645 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.007182,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,34243140
MAX_CPU_CLOCK,FIXC2,27714690
RETIRED_INSTRUCTIONS,PMC0,86206720
CPU_CLOCKS_UNHALTED,PMC1,33514970
L2_PF_HIT_IN_L3,PMC2,5744950
L2_PF_MISS_IN_L3,PMC3,105
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,1434092
TABLE,Region Sistema Linear.,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0072,
Runtime unhalted [s],0.0090,
Clock [MHz],4685.9616,
CPI,0.3888,
L3 bandwidth [MBytes/s],63971.1561,
L3 data volume [GBytes],0.4595,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792583645 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.026964,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,127538800
MAX_CPU_CLOCK,FIXC2,102736000
RETIRED_INSTRUCTIONS,PMC0,420236800
CPU_CLOCKS_UNHALTED,PMC1,114138600
L2_PF_HIT_IN_L3,PMC2,5785266
L2_PF_MISS_IN_L3,PMC3,2039
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,1447030
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0270,
Runtime unhalted [s],0.0336,
Clock [MHz],4708.1993,
CPI,0.2716,
L3 bandwidth [MBytes/s],17170.9479,
L3 data volume [GBytes],0.4630,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792583645 GHz,
TABLE,Region Jacobiana,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.000700,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,3987141
MAX_CPU_CLOCK,FIXC2,3123334
RETIRED_INSTRUCTIONS,PMC0,133036
CPU_CLOCKS_UNHALTED,PMC1,510739
L2_PF_HIT_IN_L3,PMC2,955
L2_PF_MISS_IN_L3,PMC3,555
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,2178
TABLE,Region Jacobiana,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0007,
Runtime unhalted [s],0.0011,
Clock [MHz],4841.4821,
CPI,3.8391,
L3 bandwidth [MBytes/s],337.4022,
L3 data volume [GBytes],0.0002,
