STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792732304 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.000598,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,3400602
MAX_CPU_CLOCK,FIXC2,2730566
RETIRED_INSTRUCTIONS,PMC0,1514921
CPU_CLOCKS_UNHALTED,PMC1,667779
L2_PF_HIT_IN_L3,PMC2,4562
L2_PF_MISS_IN_L3,PMC3,352
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,6701
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0006,
Runtime unhalted [s],0.0009,
Clock [MHz],4723.4065,
CPI,0.4408,
L3 bandwidth [MBytes/s],1242.6121,
L3 data volume [GBytes],0.0007,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792732304 GHz,
TABLE,Region Jacobiana,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.000003,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,522305
MAX_CPU_CLOCK,FIXC2,408462
RETIRED_INSTRUCTIONS,PMC0,15140
CPU_CLOCKS_UNHALTED,PMC1,32345
L2_PF_HIT_IN_L3,PMC2,104
L2_PF_MISS_IN_L3,PMC3,188
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,571
TABLE,Region Jacobiana,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],2.795344e-06,
Runtime unhalted [s],0.0001,
Clock [MHz],4849.8099,
CPI,2.1364,
L3 bandwidth [MBytes/s],19758.5700,
L3 data volume [GBytes],0.0001,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792732304 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,503261
MAX_CPU_CLOCK,FIXC2,391780
RETIRED_INSTRUCTIONS,PMC0,57191
CPU_CLOCKS_UNHALTED,PMC1,39356
L2_PF_HIT_IN_L3,PMC2,213
L2_PF_MISS_IN_L3,PMC3,31
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,550
TABLE,Region Sistema Linear.,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],4.007662e-06,
Runtime unhalted [s],0.0001,
Clock [MHz],4871.9543,
CPI,0.6882,
L3 bandwidth [MBytes/s],12679.7120,
L3 data volume [GBytes],0.0001,
