STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.79273855 GHz,
TABLE,Region Jacobiana,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.215459,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,1025050000
MAX_CPU_CLOCK,FIXC2,817888100
RETIRED_INSTRUCTIONS,PMC0,3052811
CPU_CLOCKS_UNHALTED,PMC1,145248200
L2_PF_HIT_IN_L3,PMC2,44808
L2_PF_MISS_IN_L3,PMC3,8973
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,77059
TABLE,Region Jacobiana,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],0.2155,
Runtime unhalted [s],0.2703,
Clock [MHz],4753.3968,
CPI,47.5785,
L3 bandwidth [MBytes/s],38.8648,
L3 data volume [GBytes],0.0084,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.79273855 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],125.803100,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,602509000000
MAX_CPU_CLOCK,FIXC2,477137100000
RETIRED_INSTRUCTIONS,PMC0,427685700000
CPU_CLOCKS_UNHALTED,PMC1,600128300000
L2_PF_HIT_IN_L3,PMC2,2186683000
L2_PF_MISS_IN_L3,PMC3,26437860000
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,2271957000
TABLE,Region Sistema Linear.,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],125.8031,
Runtime unhalted [s],158.8586,
Clock [MHz],4789.3134,
CPI,1.4032,
L3 bandwidth [MBytes/s],15718.0228,
L3 data volume [GBytes],1977.3760,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.79273855 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],131.629100,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,629409100000
MAX_CPU_CLOCK,FIXC2,499233600000
RETIRED_INSTRUCTIONS,PMC0,530240800000
CPU_CLOCKS_UNHALTED,PMC1,624043000000
L2_PF_HIT_IN_L3,PMC2,2187107000
L2_PF_MISS_IN_L3,PMC3,26447680000
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,2273321000
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],131.6291,
Runtime unhalted [s],165.9511,
Clock [MHz],4781.6977,
CPI,1.1769,
L3 bandwidth [MBytes/s],15027.9757,
L3 data volume [GBytes],1978.1189,
