STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792736089 GHz,
TABLE,Region Jacobiana,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.000173,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,1370468
MAX_CPU_CLOCK,FIXC2,1081746
RETIRED_INSTRUCTIONS,PMC0,73784
CPU_CLOCKS_UNHALTED,PMC1,183554
L2_PF_HIT_IN_L3,PMC2,332
L2_PF_MISS_IN_L3,PMC3,633
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,1661
TABLE,Region Jacobiana,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0002,
Runtime unhalted [s],0.0004,
Clock [MHz],4805.0313,
CPI,2.4877,
L3 bandwidth [MBytes/s],970.3403,
L3 data volume [GBytes],0.0002,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792736089 GHz,
TABLE,Region Sistema Linear.,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.000825,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,4435201
MAX_CPU_CLOCK,FIXC2,3562956
RETIRED_INSTRUCTIONS,PMC0,11776010
CPU_CLOCKS_UNHALTED,PMC1,3894220
L2_PF_HIT_IN_L3,PMC2,170269
L2_PF_MISS_IN_L3,PMC3,62
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,102354
TABLE,Region Sistema Linear.,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0008,
Runtime unhalted [s],0.0012,
Clock [MHz],4721.2334,
CPI,0.3307,
L3 bandwidth [MBytes/s],21145.3514,
L3 data volume [GBytes],0.0175,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 5800X 8-Core Processor             ,
CPU type:,AMD K19 (Zen3) architecture,
CPU clock:,3.792736089 GHz,
TABLE,Region Método de Newton Inteiro.,Group 1 Raw,L3,7
Region Info,HWThread 0,
RDTSC Runtime [s],0.006076,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,29532390
MAX_CPU_CLOCK,FIXC2,23440000
RETIRED_INSTRUCTIONS,PMC0,95857920
CPU_CLOCKS_UNHALTED,PMC1,24208920
L2_PF_HIT_IN_L3,PMC2,186594
L2_PF_MISS_IN_L3,PMC3,773
L2_CACHE_MISS_AFTER_L1_MISS,PMC4,112160
TABLE,Region Método de Newton Inteiro.,Group 1 Metric,L3,6
Metric,HWThread 0,
Runtime (RDTSC) [s],0.0061,
Runtime unhalted [s],0.0078,
Clock [MHz],4778.5222,
CPI,0.2526,
L3 bandwidth [MBytes/s],3155.0361,
L3 data volume [GBytes],0.0192,
